GeneA,GeneB,Score
GENE_0047,GENE_0041,0.801
GENE_0031,GENE_0034,0.92
GENE_0075,GENE_0031,0.499
GENE_0035,GENE_0083,0.851
GENE_0008,GENE_0044,0.509
GENE_0044,GENE_0001,0.679
GENE_0072,GENE_0003,0.819
GENE_0091,GENE_0047,0.601
GENE_0050,GENE_0098,0.34
GENE_0033,GENE_0080,0.994
GENE_0015,GENE_0023,0.788
GENE_0048,GENE_0049,0.578
GENE_0084,GENE_0022,0.96
GENE_0010,GENE_0099,0.402
GENE_0042,GENE_0077,0.433
GENE_0056,GENE_0052,0.535
GENE_0013,GENE_0065,0.943
GENE_0088,GENE_0082,0.533
GENE_0083,GENE_0023,0.958
GENE_0085,GENE_0065,0.544
GENE_0075,GENE_0009,0.522
GENE_0044,GENE_0011,0.62
GENE_0056,GENE_0059,0.656
GENE_0024,GENE_0049,0.409
GENE_0064,GENE_0042,0.64
GENE_0074,GENE_0071,0.75
GENE_0067,GENE_0099,0.406
GENE_0069,GENE_0098,0.871
GENE_0027,GENE_0096,0.401
GENE_0056,GENE_0070,0.537
GENE_0054,GENE_0023,0.448
GENE_0024,GENE_0083,0.363
GENE_0029,GENE_0044,0.915
GENE_0045,GENE_0086,0.364
GENE_0022,GENE_0005,0.634
GENE_0060,GENE_0004,0.99
GENE_0078,GENE_0079,0.734
GENE_0027,GENE_0004,0.754
GENE_0064,GENE_0047,0.715
GENE_0031,GENE_0068,0.859
GENE_0051,GENE_0026,0.986
GENE_0084,GENE_0059,0.988
GENE_0068,GENE_0025,0.626
GENE_0083,GENE_0036,0.903
GENE_0070,GENE_0008,0.736
GENE_0069,GENE_0077,0.434
GENE_0085,GENE_0024,0.691
GENE_0010,GENE_0098,0.716
GENE_0043,GENE_0063,0.818
GENE_0085,GENE_0021,0.763
GENE_0067,GENE_0050,0.623
GENE_0070,GENE_0060,0.615
GENE_0091,GENE_0014,0.977
GENE_0083,GENE_0085,0.397
GENE_0021,GENE_0006,0.72
GENE_0057,GENE_0089,0.475
GENE_0086,GENE_0001,0.905
GENE_0039,GENE_0003,0.585
GENE_0041,GENE_0031,0.507
GENE_0062,GENE_0089,0.632
GENE_0071,GENE_0038,0.959
GENE_0078,GENE_0019,0.739
GENE_0092,GENE_0008,0.541
GENE_0035,GENE_0033,0.453
GENE_0029,GENE_0013,0.534
GENE_0042,GENE_0067,0.4
GENE_0048,GENE_0031,0.492
GENE_0072,GENE_0053,0.645
GENE_0070,GENE_0064,0.923
GENE_0019,GENE_0049,0.823
GENE_0085,GENE_0015,0.773
GENE_0078,GENE_0074,0.856
GENE_0037,GENE_0036,0.698
GENE_0087,GENE_0042,0.842
GENE_0055,GENE_0043,0.621
GENE_0081,GENE_0080,0.961
GENE_0063,GENE_0070,0.528
GENE_0098,GENE_0009,0.566
GENE_0037,GENE_0063,0.785
GENE_0046,GENE_0034,0.583
GENE_0027,GENE_0033,0.357
GENE_0082,GENE_0091,0.657
GENE_0029,GENE_0017,0.912
GENE_0092,GENE_0030,0.819
GENE_0055,GENE_0025,0.859
GENE_0047,GENE_0001,0.512
GENE_0028,GENE_0020,0.51
GENE_0045,GENE_0078,0.544
GENE_0047,GENE_0055,0.813
GENE_0096,GENE_0063,0.518
GENE_0074,GENE_0086,0.873
GENE_0086,GENE_0025,0.523
GENE_0014,GENE_0099,0.566
GENE_0098,GENE_0031,0.535
GENE_0043,GENE_0020,0.609
GENE_0010,GENE_0043,0.825
GENE_0036,GENE_0067,0.534
GENE_0061,GENE_0002,0.514
GENE_0099,GENE_0072,0.96
GENE_0069,GENE_0033,0.724
GENE_0042,GENE_0096,0.454
GENE_0081,GENE_0019,0.894
GENE_0022,GENE_0027,0.39
GENE_0058,GENE_0042,0.682
GENE_0057,GENE_0003,0.782
GENE_0063,GENE_0013,0.313
GENE_0099,GENE_0065,0.951
GENE_0001,GENE_0054,0.696
GENE_0080,GENE_0041,0.595
GENE_0045,GENE_0038,0.638
GENE_0040,GENE_0055,0.921
GENE_0050,GENE_0065,0.852
GENE_0075,GENE_0085,0.304
GENE_0093,GENE_0037,0.32
GENE_0008,GENE_0019,0.626
GENE_0050,GENE_0042,0.93
GENE_0067,GENE_0055,0.55
GENE_0044,GENE_0087,0.499
GENE_0028,GENE_0009,0.606
GENE_0051,GENE_0088,0.923
GENE_0032,GENE_0033,0.973
GENE_0047,GENE_0044,0.552
GENE_0068,GENE_0085,0.445
GENE_0033,GENE_0092,0.857
GENE_0025,GENE_0012,0.336
GENE_0002,GENE_0026,0.927
GENE_0080,GENE_0098,0.894
GENE_0035,GENE_0018,0.433
GENE_0071,GENE_0005,0.383
GENE_0088,GENE_0072,0.477
GENE_0024,GENE_0089,0.608
GENE_0052,GENE_0073,0.548
GENE_0051,GENE_0032,0.887
GENE_0067,GENE_0076,0.606
GENE_0078,GENE_0047,0.331
GENE_0014,GENE_0007,0.826
GENE_0006,GENE_0012,0.392
GENE_0069,GENE_0073,0.83
GENE_0015,GENE_0071,0.825
GENE_0012,GENE_0013,0.353
GENE_0018,GENE_0067,0.729
GENE_0068,GENE_0047,0.99
GENE_0092,GENE_0023,0.986
GENE_0025,GENE_0075,0.439
GENE_0052,GENE_0063,0.319
GENE_0027,GENE_0050,0.418
GENE_0034,GENE_0054,0.526
GENE_0098,GENE_0026,0.874
GENE_0064,GENE_0021,0.695
GENE_0062,GENE_0068,0.884
GENE_0064,GENE_0033,0.384
GENE_0040,GENE_0098,0.987
GENE_0018,GENE_0041,0.537
GENE_0045,GENE_0096,0.721
GENE_0023,GENE_0089,0.34
GENE_0026,GENE_0079,0.408
GENE_0075,GENE_0010,0.916
GENE_0004,GENE_0063,0.448
GENE_0044,GENE_0038,0.7
GENE_0084,GENE_0003,0.705
GENE_0096,GENE_0100,0.491
GENE_0049,GENE_0037,0.656
GENE_0053,GENE_0028,0.859
GENE_0025,GENE_0015,0.331
GENE_0036,GENE_0022,0.381
GENE_0069,GENE_0054,0.838
GENE_0027,GENE_0003,0.779
GENE_0100,GENE_0099,0.986
GENE_0010,GENE_0053,0.688
GENE_0081,GENE_0042,0.748
GENE_0029,GENE_0062,0.765
GENE_0095,GENE_0026,0.424
GENE_0064,GENE_0077,0.581
GENE_0023,GENE_0034,0.736
GENE_0010,GENE_0070,0.725
GENE_0034,GENE_0050,0.501
GENE_0076,GENE_0043,0.437
GENE_0035,GENE_0088,0.672
GENE_0047,GENE_0096,0.423
GENE_0042,GENE_0070,0.32
GENE_0076,GENE_0001,0.593
GENE_0011,GENE_0069,0.815
GENE_0055,GENE_0058,0.534
GENE_0036,GENE_0079,0.872
GENE_0056,GENE_0014,0.314
GENE_0098,GENE_0087,0.706
GENE_0052,GENE_0071,0.91
GENE_0020,GENE_0056,0.762
GENE_0094,GENE_0010,0.463
GENE_0046,GENE_0073,0.564
GENE_0021,GENE_0052,0.895
GENE_0033,GENE_0076,0.872
GENE_0061,GENE_0044,0.862
GENE_0031,GENE_0100,0.813
GENE_0085,GENE_0047,0.669
GENE_0077,GENE_0039,0.881
GENE_0024,GENE_0041,0.375
GENE_0056,GENE_0094,0.824
GENE_0059,GENE_0077,0.599
GENE_0083,GENE_0008,0.617
GENE_0075,GENE_0080,0.679
GENE_0030,GENE_0024,0.775
GENE_0092,GENE_0044,0.427
GENE_0094,GENE_0016,0.499
GENE_0037,GENE_0027,0.592
GENE_0087,GENE_0054,0.403
GENE_0057,GENE_0038,0.741
GENE_0085,GENE_0084,0.51
GENE_0078,GENE_0015,0.559
GENE_0015,GENE_0051,0.843
GENE_0098,GENE_0078,0.513
GENE_0066,GENE_0041,0.383
GENE_0080,GENE_0056,0.789
GENE_0082,GENE_0023,0.784
GENE_0032,GENE_0053,0.642
GENE_0083,GENE_0010,0.863
GENE_0038,GENE_0041,0.693
GENE_0096,GENE_0053,0.564
GENE_0088,GENE_0020,0.914
GENE_0052,GENE_0032,0.535
GENE_0037,GENE_0007,0.492
GENE_0043,GENE_0008,0.791
GENE_0081,GENE_0079,0.861
GENE_0031,GENE_0061,0.922
GENE_0098,GENE_0091,0.952
GENE_0097,GENE_0002,0.961
GENE_0011,GENE_0015,0.751
GENE_0014,GENE_0093,0.35
GENE_0097,GENE_0094,0.408
GENE_0038,GENE_0100,0.529
GENE_0087,GENE_0060,0.329
GENE_0060,GENE_0025,0.38
GENE_0072,GENE_0008,0.985
GENE_0007,GENE_0012,0.387
GENE_0022,GENE_0051,0.635
GENE_0001,GENE_0034,0.636
GENE_0053,GENE_0059,0.89
GENE_0093,GENE_0065,0.333
GENE_0016,GENE_0011,0.484
GENE_0089,GENE_0098,0.863
GENE_0005,GENE_0090,0.548
GENE_0040,GENE_0020,0.542
GENE_0092,GENE_0067,0.49
GENE_0068,GENE_0029,0.623
GENE_0049,GENE_0052,0.317
GENE_0098,GENE_0015,0.851
GENE_0018,GENE_0079,0.929
GENE_0040,GENE_0008,0.559
GENE_0091,GENE_0002,0.987
GENE_0090,GENE_0002,0.5
GENE_0058,GENE_0037,0.685
GENE_0007,GENE_0035,0.404
GENE_0066,GENE_0002,0.639
GENE_0090,GENE_0069,0.372
GENE_0019,GENE_0034,0.971
GENE_0026,GENE_0027,0.431
GENE_0079,GENE_0021,0.494
GENE_0011,GENE_0079,0.902
GENE_0043,GENE_0051,0.914
GENE_0077,GENE_0068,0.383
GENE_0066,GENE_0099,0.477
GENE_0073,GENE_0035,0.484
GENE_0053,GENE_0055,0.51
GENE_0050,GENE_0029,0.791
GENE_0016,GENE_0087,0.848
GENE_0006,GENE_0018,0.864
GENE_0016,GENE_0068,0.469
GENE_0076,GENE_0083,0.64
GENE_0024,GENE_0001,0.897
GENE_0035,GENE_0064,0.622
GENE_0076,GENE_0003,0.634
GENE_0007,GENE_0072,0.723
GENE_0100,GENE_0089,0.543
GENE_0004,GENE_0030,0.742
GENE_0015,GENE_0065,0.436
GENE_0040,GENE_0026,0.876
GENE_0099,GENE_0090,0.929
GENE_0060,GENE_0032,0.742
GENE_0027,GENE_0031,0.941
GENE_0010,GENE_0093,0.856
GENE_0094,GENE_0042,0.588
GENE_0090,GENE_0083,0.643
GENE_0070,GENE_0071,0.631
GENE_0070,GENE_0031,0.396
GENE_0044,GENE_0026,0.484
GENE_0052,GENE_0098,0.642
GENE_0064,GENE_0003,0.595
GENE_0020,GENE_0066,0.634
GENE_0054,GENE_0062,0.435
GENE_0039,GENE_0096,0.749
GENE_0060,GENE_0020,0.363
GENE_0068,GENE_0036,0.583
GENE_0004,GENE_0029,0.585
GENE_0093,GENE_0086,0.441
GENE_0093,GENE_0043,0.545
GENE_0082,GENE_0028,0.671
GENE_0048,GENE_0076,0.784
GENE_0010,GENE_0020,0.645
GENE_0070,GENE_0009,0.716
GENE_0015,GENE_0047,0.626
GENE_0048,GENE_0033,0.915
GENE_0016,GENE_0072,0.706
GENE_0067,GENE_0013,0.618
GENE_0041,GENE_0092,0.806
GENE_0077,GENE_0093,0.72
GENE_0042,GENE_0005,0.856
GENE_0080,GENE_0076,0.902
GENE_0024,GENE_0009,0.752
GENE_0093,GENE_0006,0.54
GENE_0088,GENE_0080,0.846
GENE_0012,GENE_0029,0.772
GENE_0087,GENE_0027,0.511
GENE_0042,GENE_0086,0.928
GENE_0037,GENE_0060,0.77
GENE_0081,GENE_0087,0.993
GENE_0062,GENE_0019,0.989
GENE_0040,GENE_0087,0.847
GENE_0064,GENE_0089,0.586
GENE_0054,GENE_0098,0.347
GENE_0027,GENE_0066,0.942
GENE_0083,GENE_0021,0.493
GENE_0084,GENE_0033,0.877
GENE_0046,GENE_0035,0.72
GENE_0005,GENE_0020,0.82
GENE_0032,GENE_0056,0.638
GENE_0052,GENE_0090,0.422
GENE_0022,GENE_0006,0.48
GENE_0058,GENE_0003,0.652
GENE_0099,GENE_0058,0.377
GENE_0064,GENE_0039,0.728
GENE_0022,GENE_0097,0.894
GENE_0058,GENE_0087,0.482
GENE_0055,GENE_0034,0.833
GENE_0079,GENE_0041,0.754
GENE_0066,GENE_0060,0.596
GENE_0016,GENE_0006,0.321
GENE_0039,GENE_0005,0.445
GENE_0039,GENE_0073,0.866
GENE_0033,GENE_0074,0.304
GENE_0037,GENE_0044,0.552
GENE_0076,GENE_0064,0.837
GENE_0087,GENE_0013,0.625
GENE_0051,GENE_0057,0.996
GENE_0008,GENE_0100,0.6
GENE_0097,GENE_0005,0.883
GENE_0081,GENE_0006,0.859
GENE_0075,GENE_0015,0.721
GENE_0061,GENE_0035,0.887
GENE_0097,GENE_0060,0.426
GENE_0033,GENE_0056,0.495
GENE_0040,GENE_0053,0.43
GENE_0064,GENE_0030,0.988
GENE_0080,GENE_0034,0.607
GENE_0062,GENE_0042,0.597
GENE_0080,GENE_0016,0.408
GENE_0020,GENE_0075,0.941
GENE_0084,GENE_0031,0.712
GENE_0062,GENE_0071,0.6
GENE_0083,GENE_0042,0.438
GENE_0065,GENE_0060,0.537
GENE_0041,GENE_0055,0.911
GENE_0075,GENE_0089,0.976
GENE_0007,GENE_0083,0.626
GENE_0097,GENE_0043,0.894
GENE_0075,GENE_0034,0.578
GENE_0082,GENE_0095,0.408
GENE_0012,GENE_0002,0.876
GENE_0003,GENE_0059,0.482
GENE_0043,GENE_0021,0.707
GENE_0091,GENE_0089,0.697
GENE_0049,GENE_0035,0.957
GENE_0041,GENE_0042,0.905
GENE_0048,GENE_0088,0.931
GENE_0033,GENE_0079,0.561
GENE_0070,GENE_0033,0.469
GENE_0038,GENE_0047,0.438
GENE_0033,GENE_0012,0.459
GENE_0039,GENE_0075,0.365
GENE_0017,GENE_0019,0.882
GENE_0089,GENE_0071,0.935
GENE_0078,GENE_0030,0.413
GENE_0032,GENE_0098,0.789
GENE_0013,GENE_0032,0.303
GENE_0040,GENE_0036,0.956
GENE_0035,GENE_0024,0.446
GENE_0050,GENE_0028,0.953
GENE_0054,GENE_0047,0.453
GENE_0040,GENE_0097,0.781
GENE_0098,GENE_0084,0.838
GENE_0015,GENE_0045,0.356
GENE_0074,GENE_0055,0.657
GENE_0042,GENE_0091,0.898
GENE_0099,GENE_0032,0.823
GENE_0026,GENE_0038,0.489
GENE_0087,GENE_0034,0.679
GENE_0096,GENE_0011,0.391
GENE_0025,GENE_0052,0.483
GENE_0025,GENE_0014,0.483
GENE_0058,GENE_0066,0.782
GENE_0075,GENE_0079,0.458
GENE_0051,GENE_0034,0.406
GENE_0053,GENE_0090,0.628
GENE_0046,GENE_0047,0.777
GENE_0016,GENE_0044,0.704
GENE_0071,GENE_0075,0.731
GENE_0073,GENE_0023,0.743
GENE_0032,GENE_0017,0.888
GENE_0053,GENE_0015,0.983
GENE_0055,GENE_0039,0.405
GENE_0033,GENE_0050,0.575
GENE_0090,GENE_0086,0.746
GENE_0055,GENE_0093,0.853
GENE_0017,GENE_0011,0.909
GENE_0073,GENE_0008,0.714
GENE_0046,GENE_0094,0.968
GENE_0022,GENE_0098,0.331
GENE_0006,GENE_0060,0.682
GENE_0088,GENE_0094,0.65
GENE_0029,GENE_0079,0.77
GENE_0042,GENE_0100,0.945
GENE_0075,GENE_0046,0.7
GENE_0076,GENE_0034,0.446
